1,2,3,4,5,6,,,,,,,,,
ID,Year,fossil,landuse,total,Fex,,GCP_landuse,RCP_landuse,SSP_landuse,RCP3.0,RCP85,E_RCP85,GCP_N,GCP_G
1,1765,0.002999,0,0.002999,0,,,,,0,0,0.003,0.003,0.002999
2,1766,0.003346,0.005338296,0.008684296,0.00526973,,,,,0.005338296,0.005338296,0.003,0.003,0.003346
3,1767,0.003347,0.010676593,0.014023593,0.010301824,,,,,0.010676593,0.010676593,0.003,0.003,0.003347
4,1768,0.003348,0.016014889,0.019362889,0.009564335,,,,,0.016014889,0.016014889,0.003,0.003,0.003348
5,1769,0.003349,0.021353185,0.024702185,0.008563993,,,,,0.021353185,0.021353185,0.003,0.003,0.003349
6,1770,0.00335,0.026691482,0.030041482,0.007569173,,,,,0.026691482,0.026691482,0.003,0.003,0.00335
7,1771,0.003715,0.032029778,0.035744778,0.006210051,,,,,0.032029778,0.032029778,0.004,0.004,0.003715
8,1772,0.003716,0.037368074,0.041084074,0.004870829,,,,,0.037368074,0.037368074,0.004,0.004,0.003716
9,1773,0.003717,0.042706371,0.046423371,0.003941372,,,,,0.042706371,0.042706371,0.004,0.004,0.003717
10,1774,0.003718,0.048044667,0.051762667,0.003050675,,,,,0.048044667,0.048044667,0.004,0.004,0.003718
11,1775,0.003719,0.053382963,0.057101963,0.002198306,,,,,0.053382963,0.053382963,0.004,0.004,0.003719
12,1776,0.004104,0.058721259,0.062825259,0.001383247,,,,,0.058721259,0.058721259,0.004,0.004,0.004104
13,1777,0.004105,0.064059556,0.068164556,0.000604151,,,,,0.064059556,0.064059556,0.004,0.004,0.004105
14,1778,0.004106,0.069397852,0.073503852,-0.000140347,,,,,0.069397852,0.069397852,0.004,0.004,0.004106
15,1779,0.004107,0.074736148,0.078843148,-0.000851637,,,,,0.074736148,0.074736148,0.004,0.004,0.004107
16,1780,0.004109,0.080074445,0.084183445,-0.001533539,,,,,0.080074445,0.080074445,0.004,0.004,0.004109
17,1781,0.004597,0.085412741,0.090009741,-0.002629691,,,,,0.085412741,0.085412741,0.005,0.005,0.004597
18,1782,0.004598,0.090751037,0.095349037,-0.003708412,,,,,0.090751037,0.090751037,0.005,0.005,0.004598
19,1783,0.0046,0.096089334,0.100689334,-0.004327689,,,,,0.096089334,0.096089334,0.005,0.005,0.0046
20,1784,0.004601,0.10142763,0.10602863,-0.004913657,,,,,0.10142763,0.10142763,0.005,0.005,0.004601
21,1785,0.004604,0.10676593,0.11136993,-0.005458215,,,,,0.10676593,0.10676593,0.005,0.005,0.004604
22,1786,0.005227,0.11210422,0.11733122,-0.005953469,,,,,0.11210422,0.11210422,0.005,0.005,0.005227
23,1787,0.005229,0.11744252,0.12267152,-0.006391618,,,,,0.11744252,0.11744252,0.005,0.005,0.005229
24,1788,0.00523,0.12278082,0.12801082,-0.006764706,,,,,0.12278082,0.12278082,0.005,0.005,0.00523
25,1789,0.005232,0.12811911,0.13335111,-0.007064657,,,,,0.12811911,0.12811911,0.005,0.005,0.005232
26,1790,0.005234,0.13345741,0.13869141,-0.007285153,,,,,0.13345741,0.13345741,0.005,0.005,0.005234
27,1791,0.005846,0.1387957,0.1446417,-0.007872045,,,,,0.1387957,0.1387957,0.006,0.006,0.005846
28,1792,0.005976,0.144134,0.15011,-0.008382862,,,,,0.144134,0.144134,0.006,0.006,0.005976
29,1793,0.005981,0.1494723,0.1554533,-0.008375084,,,,,0.1494723,0.1494723,0.006,0.006,0.005981
30,1794,0.005972,0.15481059,0.16078259,-0.008298456,,,,,0.15481059,0.15481059,0.006,0.006,0.005972
31,1795,0.005975,0.16014889,0.16612389,-0.008156346,,,,,0.16014889,0.16014889,0.006,0.006,0.005975
32,1796,0.006264,0.16548719,0.17175119,-0.007952266,,,,,0.16548719,0.16548719,0.006,0.006,0.006264
33,1797,0.006576,0.17082548,0.17740148,-0.0081358,,,,,0.17082548,0.17082548,0.007,0.007,0.006576
34,1798,0.006849,0.17616378,0.18301278,-0.008264012,,,,,0.17616378,0.17616378,0.007,0.007,0.006849
35,1799,0.007213,0.18150207,0.18871507,-0.00789411,,,,,0.18150207,0.18150207,0.007,0.007,0.007213
36,1800,0.007667,0.18684037,0.19450737,-0.0079155,,,,,0.18684037,0.18684037,0.008,0.008,0.007667
37,1801,0.007631,0.19217867,0.19980967,-0.00787298,,,,,0.19217867,0.19217867,0.008,0.008,0.007631
38,1802,0.010039,0.19751696,0.20755596,-0.0082,,,,,0.19751696,0.19751696,0.01,0.01,0.010039
39,1803,0.008594,0.20285526,0.21144926,-0.00801451,,,,,0.20285526,0.20285526,0.009,0.009,0.008594
40,1804,0.009364,0.20819356,0.21755756,-0.00688103,,,,,0.20819356,0.20819356,0.009,0.009,0.009364
41,1805,0.009121,0.21353185,0.22265285,-0.00613713,,,,,0.21353185,0.21353185,0.009,0.009,0.009121
42,1806,0.009565,0.21887015,0.22843515,-0.00578778,,,,,0.21887015,0.21887015,0.01,0.01,0.009565
43,1807,0.010064,0.22420845,0.23427245,-0.00539979,,,,,0.22420845,0.22420845,0.01,0.01,0.010064
44,1808,0.00957,0.22954674,0.23911674,-0.00454075,,,,,0.22954674,0.22954674,0.01,0.01,0.00957
45,1809,0.009577,0.23488504,0.24446204,-0.00365928,,,,,0.23488504,0.23488504,0.01,0.01,0.009577
46,1810,0.010202,0.24022333,0.25042533,-0.00275949,,,,,0.24022333,0.24022333,0.01,0.01,0.010202
47,1811,0.010803,0.24556163,0.25636463,-0.0022728,,,,,0.24556163,0.24556163,0.011,0.011,0.010803
48,1812,0.011192,0.25089993,0.26209193,-0.00175624,,,,,0.25089993,0.25089993,0.011,0.011,0.011192
49,1813,0.01125,0.25623822,0.26748822,-0.00077279,,,,,0.25623822,0.25623822,0.011,0.011,0.01125
50,1814,0.011498,0.26157652,0.27307452,0.00023968,,,,,0.26157652,0.26157652,0.011,0.011,0.011498
51,1815,0.011869,0.26691482,0.27878382,0.00084872,,,,,0.26691482,0.26691482,0.012,0.012,0.011869
52,1816,0.013009,0.27225311,0.28526211,0.00105541,,,,,0.27225311,0.27225311,0.013,0.013,0.013009
53,1817,0.013491,0.27759141,0.29108241,0.00129188,,,,,0.27759141,0.27759141,0.014,0.014,0.013491
54,1818,0.013549,0.2829297,0.2964787,0.00198372,,,,,0.2829297,0.2829297,0.014,0.014,0.013549
55,1819,0.013632,0.288268,0.3019,0.00312697,,,,,0.288268,0.288268,0.014,0.014,0.013632
56,1820,0.013834,0.2936063,0.3074403,0.00429099,,,,,0.2936063,0.2936063,0.014,0.014,0.013834
57,1821,0.014038,0.29894459,0.31298259,0.00547538,,,,,0.29894459,0.29894459,0.014,0.014,0.014038
58,1822,0.014592,0.30428289,0.31887489,0.00625845,,,,,0.30428289,0.30428289,0.015,0.015,0.014592
59,1823,0.015434,0.30962119,0.32505519,0.00664294,,,,,0.30962119,0.30962119,0.016,0.016,0.015434
60,1824,0.015973,0.31495948,0.33093248,0.00747197,,,,,0.31495948,0.31495948,0.016,0.016,0.015973
61,1825,0.016582,0.32029778,0.33687978,0.00832499,,,,,0.32029778,0.32029778,0.017,0.017,0.016582
62,1826,0.016763,0.32563608,0.34239908,0.00919889,,,,,0.32563608,0.32563608,0.017,0.017,0.016763
63,1827,0.01799,0.33097437,0.34896437,0.01009651,,,,,0.33097437,0.33097437,0.018,0.018,0.01799
64,1828,0.018187,0.33631267,0.35449967,0.01101459,,,,,0.33631267,0.33631267,0.018,0.018,0.018187
65,1829,0.018121,0.34165096,0.35977196,0.0123671,,,,,0.34165096,0.34165096,0.018,0.018,0.018121
66,1830,0.024324,0.34698926,0.37131326,0.01128088,,,,,0.34698926,0.34698926,0.024,0.024,0.024324
67,1831,0.02307,0.35232756,0.37539756,0.01062241,,,,,0.35232756,0.35232756,0.023,0.023,0.02307
68,1832,0.023229,0.35766585,0.38089485,0.01243517,,,,,0.35766585,0.35766585,0.023,0.023,0.023229
69,1833,0.023692,0.36300415,0.38669615,0.01344552,,,,,0.36300415,0.36300415,0.024,0.024,0.023692
70,1834,0.02415,0.36834245,0.39249245,0.0144718,,,,,0.36834245,0.36834245,0.024,0.024,0.02415
71,1835,0.024685,0.37368074,0.39836574,0.01552137,,,,,0.37368074,0.37368074,0.025,0.025,0.024685
72,1836,0.028596,0.37901904,0.40761504,0.01500032,,,,,0.37901904,0.37901904,0.029,0.029,0.028596
73,1837,0.028573,0.38435733,0.41293033,0.01491471,,,,,0.38435733,0.38435733,0.029,0.029,0.028573
74,1838,0.029488,0.38969563,0.41918363,0.01606601,,,,,0.38969563,0.38969563,0.03,0.03,0.029488
75,1839,0.030462,0.39503393,0.42549593,0.01686057,,,,,0.39503393,0.39503393,0.031,0.031,0.030462
76,1840,0.032459,0.40037222,0.43283122,0.01731303,,,,,0.40037222,0.40037222,0.032999999,0.032999999,0.032459
77,1841,0.033466,0.40571052,0.43917652,0.01783686,,,,,0.40571052,0.40571052,0.033999999,0.033999999,0.033466
78,1842,0.035345,0.41104882,0.44639382,0.01845379,,,,,0.41104882,0.41104882,0.035999999,0.035999999,0.035345
79,1843,0.036259,0.41638711,0.45264611,0.01913867,,,,,0.41638711,0.41638711,0.036999999,0.036999999,0.036259
80,1844,0.038598,0.42172541,0.46032341,0.01984227,,,,,0.42172541,0.42172541,0.038999999,0.038999999,0.038598
81,1845,0.042361,0.42706371,0.46942471,0.01936024,,,,,0.42706371,0.42706371,0.042999999,0.042999999,0.042361
82,1846,0.043066,0.432402,0.475468,0.01957365,,,,,0.432402,0.432402,0.042999999,0.042999999,0.043066
83,1847,0.047053,0.4377403,0.4847933,0.02012972,,,,,0.4377403,0.4377403,0.045999999,0.045999999,0.047053
84,1848,0.047439,0.44307859,0.49051759,0.02028715,,,,,0.44307859,0.44307859,0.046999999,0.046999999,0.047439
85,1849,0.050085,0.44841689,0.49850189,0.02043512,,,,,0.44841689,0.44841689,0.049999999,0.049999999,0.050085
86,1850,0.053738,0.45375519,0.50749319,0.01963355,,0.67,0.454,,0.45375519,0.45375519,0.053999999,0.053999999,0.053738
87,1851,0.054242,0.44678569,0.50102769,0.02081911,,0.68,0.4747095,,0.44678569,0.44678569,0.053999999,0.053999999,0.054242
88,1852,0.056631,0.49862282,0.55525382,0.01618277,,0.68,0.491416,,0.49862282,0.49862282,0.056999999,0.056999999,0.056631
89,1853,0.059252,0.49735449,0.55660649,0.01055566,,0.69,0.5044365,,0.49735449,0.49735449,0.058999999,0.058999999,0.059252
90,1854,0.069599,0.49581708,0.56541608,0.00922609,,0.69,0.514088,,0.49581708,0.49581708,0.068999999,0.068999999,0.069599
91,1855,0.07097,0.49367925,0.56464925,0.00783604,,0.69,0.5206875,,0.49367925,0.49367925,0.070999999,0.070999999,0.07097
92,1856,0.07563,0.49893488,0.57456488,0.00742165,,0.7,0.524552,,0.49893488,0.49893488,0.075999999,0.075999999,0.07563
93,1857,0.076332,0.504232,0.580564,0.00668489,,0.7,0.5259985,,0.504232,0.504232,0.076999999,0.076999999,0.076332
94,1858,0.077502,0.50923298,0.58673498,0.00731801,,0.71,0.525344,,0.50923298,0.50923298,0.077999999,0.077999999,0.077502
95,1859,0.082151,0.51425389,0.59640489,0.00666178,,0.71,0.5229055,,0.51425389,0.51425389,0.082999999,0.082999999,0.082151
96,1860,0.090259,0.51896689,0.60922589,-0.00044288,,0.69,0.519,,0.51896689,0.51896689,0.090999999,0.090999999,0.090259
97,1861,0.09492,0.5282236,0.6231436,-0.01194759,,0.68,0.5139445,,0.5282236,0.5282236,0.094999998,0.094999998,0.09492
98,1862,0.096647,0.47371663,0.57036363,-0.00804954,,0.68,0.508056,,0.47371663,0.47371663,0.096999998,0.096999998,0.096647
99,1863,0.103145,0.47374912,0.57689412,-0.00030669,,0.68,0.5016515,,0.47374912,0.47374912,0.104,0.104,0.103145
100,1864,0.111122,0.47413825,0.58526025,-0.00098311,,0.68,0.495048,,0.47413825,0.47413825,0.112,0.112,0.111122
101,1865,0.118004,0.47479536,0.59279936,-0.0029952,,0.68,0.4885625,,0.47479536,0.47479536,0.119,0.119,0.118004
102,1866,0.121735,0.47491218,0.59664718,-0.00933409,,0.67,0.482512,,0.47491218,0.47491218,0.122,0.122,0.121735
103,1867,0.130408,0.47338353,0.60379153,-0.01627919,,0.67,0.4772135,,0.47338353,0.47338353,0.13022269,0.13022269,0.130408
104,1868,0.133939,0.47198274,0.60592174,-0.01746806,,0.67,0.472984,,0.47198274,0.47198274,0.13525196,0.13525196,0.133939
105,1869,0.14223,0.47048522,0.61271522,-0.01420371,,0.67,0.4701405,,0.47048522,0.47048522,0.14228123,0.14228123,0.14223
106,1870,0.145343,0.46933399,0.61467699,-0.01231577,,0.72,0.469,,0.46933399,0.46933399,0.14731051,0.14731051,0.145343
107,1871,0.154515,0.48732546,0.64184046,-0.02044848,,0.75,0.4810995,,0.48732546,0.48732546,0.15633978,0.15633978,0.154515
108,1872,0.170953,0.56696435,0.73791735,-0.0423676,,0.77,0.494856,,0.56696435,0.56696435,0.17336905,0.17336905,0.170953
109,1873,0.18161,0.57690133,0.75851133,-0.060576,,0.79,0.5099065,,0.57690133,0.57690133,0.18439832,0.18439832,0.18161
110,1874,0.170032,0.58328394,0.75331594,-0.06308408,,0.8,0.525888,,0.58328394,0.58328394,0.1744276,0.1744276,0.170032
111,1875,0.184443,0.5899696,0.7744126,-0.06190074,,0.81,0.5424375,,0.5899696,0.5899696,0.18845687,0.18845687,0.184443
112,1876,0.187105,0.59639187,0.78349687,-0.06006402,,0.83,0.559192,,0.59639187,0.59639187,0.19148614,0.19148614,0.187105
113,1877,0.190802,0.60262312,0.79342512,-0.05445088,,0.84,0.5757885,,0.60262312,0.60262312,0.19451541,0.19451541,0.190802
114,1878,0.192294,0.6090507,0.8013447,-0.05096957,,0.85,0.591864,,0.6090507,0.6090507,0.196,0.196,0.192294
115,1879,0.206069,0.61534752,0.82141652,-0.05348947,,0.85,0.6070555,,0.61534752,0.61534752,0.21,0.21,0.206069
116,1880,0.233049,0.62124317,0.85429217,-0.06437074,,0.86,0.621,,0.62124317,0.62124317,0.236,0.236,0.233049
117,1881,0.240881,0.64887292,0.88975392,-0.07157924,,0.87,0.6238635,,0.64887292,0.64887292,0.243,0.243,0.240881
118,1882,0.254402,0.60466403,0.85906603,-0.06837781,,0.88,0.625328,,0.60466403,0.60466403,0.256,0.256,0.254402
119,1883,0.270544,0.60851762,0.87906162,-0.06717105,,0.89,0.6256045,,0.60851762,0.60851762,0.272,0.272,0.270544
120,1884,0.273589,0.61212775,0.88571675,-0.06756708,,0.9,0.624904,,0.61212775,0.61212775,0.275,0.275,0.273589
121,1885,0.27563,0.61523611,0.89086611,-0.06415817,,0.9,0.6234375,,0.61523611,0.61523611,0.27699999,0.27699999,0.27563
122,1886,0.279948,0.61714413,0.89709213,-0.06135672,,0.91,0.621416,,0.61714413,0.61714413,0.28099999,0.28099999,0.279948
123,1887,0.293953,0.61616314,0.91011614,-0.06233754,,0.91,0.6190505,,0.61616314,0.61616314,0.295,0.295,0.293953
124,1888,0.325487,0.61473356,0.94022056,-0.06993102,,0.92,0.616552,,0.61473356,0.61473356,0.32699999,0.32699999,0.325487
125,1889,0.32537,0.6132002,0.9385702,-0.07247856,,0.93,0.6141315,,0.6132002,0.6132002,0.32699999,0.32699999,0.32537
126,1890,0.354491,0.61175412,0.96624512,-0.07327583,,0.96,0.612,,0.61175412,0.61175412,0.35599999,0.35599999,0.354491
127,1891,0.370988,0.61024855,0.98123655,-0.07842425,,0.99,0.612563,,0.61024855,0.61024855,0.37199999,0.37199999,0.370988
128,1892,0.374056,0.62319119,0.99724719,-0.08141912,,1,0.613704,,0.62319119,0.62319119,0.37399999,0.37399999,0.374056
129,1893,0.369579,0.62440331,0.99398231,-0.08330621,,1.02,0.615501,,0.62440331,0.62440331,0.36999999,0.36999999,0.369579
