Row,CO2,All_impact_calib_m,All_impact_calib_ci,N_calib_m,N_calib_ci,W_calib_m,W_calib_ci,HS_calib_m,HS_calib_ci,All_impact_expert_m,All_impact_expert_ci,N_expert_m,N_expert_ci,W_expert_m,W_expert_ci,HS_expert_m,HS_expert_ci
"USA",86100.8383904,9832845.45872385,355166.832411288,5608680.37601878,15472.8419052793,6100608.62559561,31161.6722479981,17789247.3745572,51517.8931224193,20083696.1451246,698703.909582394,11465849.2220124,138486.930817222,14355845.8340695,248309.597062432,34429393.3792921,407226.97629324
"China",56774.7404835,4835163.0198728,207154.808134882,2736618.69993,15149.4662835165,3072588.06569515,30087.9119328189,8696282.29399324,50566.4525820807,12868939.7765122,617137.197436486,7326421.65483949,131795.991536533,9294774.9162361,236899.647581906,21985622.7584609,391922.74541042
"Russian Federation",28795.5735604255,3334481.89733869,127517.393690456,1902578.26243926,5250.06401350904,2066581.85329317,10613.1102081484,6034285.57628364,17474.3404453239,6740925.32993237,242432.006939214,3848944.08189282,47321.4859794184,4813417.46054988,84836.3175976776,11560414.4473544,138861.605689352
"Germany",17085.0743729,2104392.69297588,79167.0975711199,1202339.47030056,2942.67765338678,1298987.17607351,5957.04396610036,3811851.43255359,9782.43182541296,4014644.73428028,137745.993596945,2293884.48706627,26618.2587210056,2861957.75807808,47618.0385759468,6888091.9576965,77794.3011701347
"Japan",16229.30494616,1709662.14149102,64848.4613346385,973323.374018361,3168.89746072046,1066844.27234457,6368.76403754416,3088818.77811012,10560.7184652795,3765501.88703606,140751.002456676,2147919.93591843,28234.0522472143,2697494.18477213,50700.797703463,6451091.54041763,83305.1657958734
"India",12946.76595811,1113648.66743582,46621.8825300238,630499.146856272,3412.30306985855,707046.023981844,6779.81903950421,2003400.83146935,11390.8036133588,2935724.2301339,138827.150898927,1671478.6169525,29697.4902615361,2119962.6491375,53383.1579555406,5015731.4243117,88309.083380945
"United Kingdom",10590.9336513,1335429.31143966,50807.1704641125,763369.433755445,1806.93101648421,823123.147101007,3659.46776076231,2419795.35346251,6002.94281655275,2491827.05820159,85035.8885717443,1424175.37850389,16366.766362508,1775278.1724196,29245.2714129517,4276027.62368127,47736.7983031888
"Canada",7692.39763798,840735.974295927,30419.403094681,479067.171073406,1439.7814684771,523247.64313731,2893.58729010355,1519893.10867707,4797.01305804457,1787744.82226764,64000.2096962778,1020154.77842804,12829.5679810892,1279687.34142117,23025.4010168026,3063392.34695369,37821.8884113959
"Ukraine",7453.90920373546,914525.279361718,36663.3215348148,522462.964106978,1374.34406014545,564551.178965077,2790.8683700085,1656561.6950131,4570.28814230864,1757180.74407491,65320.5094052154,1003953.35279792,12498.8834558592,1251674.47220392,22385.9762388489,3015914.40722289,36539.8823140214
"France",7161.54462634,863641.370629786,32402.9756664747,493216.121156391,1251.39032416981,533832.593879019,2530.84572169908,1563875.39685395,4161.94611535877,1680207.7762143,58173.463119231,959802.247260798,11296.2071244087,1198549.13105512,20223.4018245749,2882271.95032698,33068.6248437357
"Italy",6111.62444035,664635.943021841,25161.4019910844,378674.649066856,1161.45527533567,413744.724106719,2339.0916129131,1201488.45589195,3869.26966712455,1422861.33580203,52336.1348761422,811889.058876635,10391.4677288683,1018048.67056784,18653.8804718631,2438646.27796163,30611.2540802636
"Poland",5945.57591269,696771.555596954,26193.8618859256,397668.673930143,1063.34701495489,431492.080990232,2149.49921157286,1261153.91187049,3538.65279614282,1392528.68919401,49134.9528479152,795214.357190583,9585.24856866703,994086.070320459,17178.4336515089,2388285.64007098,28113.2908458352
"South Africa",5134.23911014,525289.77726431,19304.2717806413,298834.041792365,1034.6817338513,328552.294501665,2072.68120595191,948482.9954989,3449.87208374809,1186119.38888529,44926.8718126785,676397.077964409,9158.86951239985,850900.519873699,16453.5090526934,2031060.56881775,27086.2998975247
"Mexico",4941.29194395,485357.418245973,18630.1679831489,275823.74050718,1042.5528433388,304541.552401832,2086.86949197427,875706.961828905,3476.89299402297,1138379.11350061,45019.9857326111,648917.180247004,9214.24648525446,817546.191726835,16559.0397480964,1948673.968528,27275.7253695665
"Iran",4515.56750811167,401583.980926596,16363.5811762347,227584.656068902,1109.41966556861,254163.072883468,2208.29743865123,723004.213827418,3702.55850201497,1028571.71572453,45872.4486577393,585791.21966163,9693.10111622225,741622.494629123,17424.2587343377,1758301.43288284,28793.709106789
"Australia",4499.36762989,461821.063786815,16877.8576202205,262748.655980202,902.077884614306,288784.628072175,1807.05478372409,833929.907308067,3007.69990713066,1039629.04909205,39166.7474563009,592877.424187864,7985.1209005195,745756.161802676,14344.4165891383,1780253.56128562,23613.8960537896
"South Korea",4489.225137701,391120.56986532,16763.9913660791,221519.409211988,1103.82540802625,247960.109742,2200.41424261608,703882.190641973,3683.57727321057,1022581.18918066,46186.0903626124,582280.250838886,9673.89465999468,737355.239782501,17393.8577633279,1748108.07692058,28722.4425777266
"Brazil",3936.68819801,375560.436812185,14374.2495308394,213260.172055876,872.007442034563,236241.40682903,1740.27401481625,677179.73155165,2909.03136726006,903157.048946037,36832.2384972786,514691.678506665,7660.44967571778,649546.311961136,13766.5408518368,1545233.15637031,22712.7959892146
"Saudi Arabia",3876.080472549,337265.023744803,14475.9642510639,191009.388337821,969.308571412564,213856.814587905,1929.87480554188,606928.868308683,3234.72331814002,882324.874999706,40211.9155861195,502408.230336871,8474.24045425792,636394.469389318,15232.7674872472,1508171.92527293,25167.4429818915
"Spain",3618.3162557,373012.80784989,14093.3349447229,212244.628305162,725.933147148941,233148.272479577,1457.02628350802,673645.522764932,2420.01823334727,837708.556619804,31953.646207603,477744.721921121,6450.87435127925,600550.078867304,11589.6355127893,1434830.86907099,19060.2348722439
"Indonesia",3358.970914148,290566.67977575,12268.6838275374,164533.769677212,853.918356368283,184357.648016665,1699.15373402958,522808.621633374,2850.07576222004,763314.417173494,35214.4270230378,434621.074499326,7455.68534380191,550822.404082834,13403.9334497232,1304499.77293832,22155.3419139353
"Kazakhstan",3357.49357842364,370733.13133638,13862.8721885065,211301.188247106,635.84114770444,230563.211764995,1279.03055356844,670334.99399704,2118.09857452149,781150.569655861,28392.3853411348,445799.571771016,5674.68025917206,558984.092655176,10180.3315550042,1338668.04454139,16712.1912991377
"Turkey",2694.620990878,240228.170225597,9759.80064140809,136151.333797899,653.849252333744,152001.227457883,1302.20030056685,432531.94942101,2182.08427904975,614175.189884084,27141.1645965984,349793.828188566,5718.95048397337,442736.775711884,10280.9157410931,1049994.9657518,16984.6285489314
"Netherlands",2633.15661728,298153.325335332,10988.6900478947,170033.546182387,478.99935932827,185084.827983465,965.377719012269,539341.601840145,1594.95439216697,614367.882982696,21713.8035517632,350710.414069239,4292.57457334949,439166.340348322,7698.37623613373,1053226.89453053,12622.2824845618
"Czech Republic",2478.68951425406,302320.21436413,11564.3359038321,172693.078280955,436.418803118096,186719.582386606,884.318335262973,547547.98242483,1451.21202615211,582798.456847993,20512.0690320474,332958.537948351,3953.65272015547,415448.332297002,7077.86715486269,999988.500298627,11562.3087971786
"Taiwan",2211.658781506,197910.49579156,8234.62464498089,112179.476234348,525.74150821608,125166.928251419,1048.99049673204,356385.082888912,1754.26662991486,505091.072448963,22168.4257880197,287676.280356295,4616.49647260525,363866.391639717,8300.82866748809,863730.545350876,13700.2337914371
"Belgium",2110.82721024,256798.064686689,9562.0489282766,146682.676751874,365.056312626257,158645.904444278,738.053429930351,465065.612863916,1213.89974736084,495207.650241887,16949.7881919552,282912.651245142,3293.86238270984,353211.725456509,5894.52565550786,849498.574024011,9637.93997231746
"Romania",2108.27336041,251897.296119279,10264.5045416911,143825.313455916,395.915701477485,155767.492241303,803.41641586114,456099.082660619,1317.04393237343,496030.127639467,18720.1889205993,283318.086615818,3595.10116271244,353612.363130212,6442.51755911007,851159.93317237,10522.7707455549
"Argentina",2069.92387385,218177.899441099,7873.66505596161,124212.841623853,405.130593617258,136161.014404196,811.67350719538,394159.842295247,1350.43574237982,479086.428997085,17630.5994407534,273284.539251616,3587.72094764914,343438.578113577,6441.49546240899,820536.169626061,10600.2707330287
"Venezuela",2002.96448113,212557.26091238,7630.83585273038,121033.651327614,390.918890506947,132584.458870366,783.468655189203,384053.67253916,1302.99589415027,463771.926751534,17072.7788390303,264568.683985878,3464.86503355186,332379.085451684,6221.54945841259,794368.010817039,10236.5059236612
"Thailand",1873.124400427,156445.166455913,7057.10985764878,88491.6311347577,490.962196792419,99577.6418750618,977.242211168705,281266.22635792,1638.62614635866,424768.953648892,20324.7306497022,241786.695212068,4290.07622231559,306763.489713344,7713.93071538676,725756.676021265,12748.4477660852
"Uzbekistan",1682.15956233,185935.864932918,6898.58973768133,105977.628683291,312.795393982866,115616.290233549,630.096886136367,336213.675881915,1041.90929284107,391894.770624299,14111.9434988628,223654.797390409,2799.771963331,280308.519501552,5024.3819667601,671720.994980936,8242.9904200419
"Egypt",1591.56882852,142239.017509129,5723.47061063313,80621.1306171492,388.76176922247,89984.7963571814,773.850124846618,256111.125553058,1297.43956408943,362591.049989471,16086.7395061002,206512.431452351,3397.03294162449,261407.744126036,6106.70968880113,619852.974390027,10091.2231332102
"Malaysia",1465.095258787,120335.42752025,5499.34674467751,68030.5835211112,396.427851584429,76721.5015454681,788.18987218848,216254.19749417,1323.22320348943,331516.612457217,16271.0559120236,188679.099126361,3456.14349487296,239600.043014408,6213.97773239909,566270.695230881,10275.5798736696
"North Korea",1324.35187577,156537.875563588,6922.63105766917,89356.5129744438,270.220297901175,96854.9435320948,548.943116340665,283402.170184226,899.104409490135,312064.95193784,12836.1392347957,178219.389468014,2458.21095545774,222394.096917393,4407.98564999036,535581.369428111,7198.39075386111
"Pakistan",1275.33381222582,111994.023255237,4621.74072047211,63445.3716139486,318.939147828121,70961.0585983982,634.989491640157,201575.639553364,1064.56920014429,290124.834616567,13161.1087495228,165213.959410466,2786.83441089432,209274.081457715,5010.4388042832,495886.46298152,8280.22955456165
"Belarus",1247.1403961,145718.993488811,6113.04578031286,83159.9331572572,237.985082253692,90246.8863394786,482.388000552407,263750.160969698,791.720406802355,292772.421606604,11180.6544548627,167181.168541891,2156.40500128731,208892.222906638,3863.88384133157,502243.873371284,6314.1853590908
"United Arab Emirates",1222.143005131,102641.724842633,4563.17380594601,58068.1704809157,327.206332377819,65304.6248993261,650.067140675599,184552.379147656,1092.08506288641,277034.802866193,13375.3397938674,157700.186085768,2848.72514962969,200109.16657644,5120.28365256719,473295.055936372,8468.99792400687
"Algeria",1164.438787837,107943.374899488,4404.89509054305,61246.1058082505,265.735446371779,68058.8519144677,530.828556213278,194525.166975746,886.549342311287,266782.317454516,11268.41737561,151994.514389519,2338.10377031637,191981.61320054,4202.52029318285,456370.824773488,6931.12753933786
"Hungary",1136.94391733,138390.881954515,5307.3370730497,79049.0017969902,200.785376856541,85483.4214590644,406.885863918741,250640.222607492,667.694654964051,267325.777136045,9438.89320115827,152722.096656309,1819.18125802127,190565.513487192,3257.03111930319,458689.721264634,5320.72940628387
"Iraq",1117.097468288,101064.226004587,4073.25369127839,57303.4289703831,274.97759700256,63869.428712957,547.302189853227,182019.820330421,917.752122599047,254696.87705114,11319.9992004794,145076.488984515,2401.18571776008,183579.383739193,4315.56248569703,435434.758429713,7131.96196692717
"Sweden",1091.21680129,136178.840755961,5306.36262243578,77826.5004558281,190.936819707975,83986.3242810077,387.129332270947,246723.697531048,634.513456727953,256929.4386811,9031.9337669784,146824.597215595,1732.50286984519,183042.907510211,3098.0079513459,440920.811317495,5056.13055890668
"Greece",1063.751220308,104878.224228388,4151.56205136539,59607.0012865485,225.43086907398,65778.5672193099,452.136013805848,189249.104179307,751.728318547473,245558.821036803,9871.30214035869,139982.107462525,2000.32999976638,176238.105066654,3595.82721770269,420456.250581229,5917.46437671424
"Austria",1015.375035089,113952.949088036,4134.06114720393,64972.9352443234,185.60846440218,70785.886090123,373.538954656785,206100.025929662,618.156333447521,236543.238951238,8336.9497391599,135017.76793887,1658.70649643614,169169.214668323,2975.26118638759,405442.734246522,4882.25965456261
"Nigeria",997.572571574,94999.2401827676,3921.94277001249,53941.8803555153,227.547441910893,59766.1099942471,454.481554702503,171289.73019854,758.978362800123,228956.462097997,9667.36086680363,130474.167763765,2002.07392636142,164659.354841781,3596.94546325308,391735.863688445,5931.2546535284
"Bulgaria",992.607690587,116860.572061004,4712.21158154024,66702.1663448451,184.427097931323,72338.8779519117,373.713464666777,211540.671886255,613.574595422966,233049.197980701,8650.21635988433,133089.104181514,1670.170574114,166257.49720269,2992.83076351321,399800.992557901,4891.6274898925
"Denmark",914.726288656,109074.536709538,4108.25018185395,62275.9494590597,162.315580607947,67466.7093252762,328.368715926153,197480.951344278,539.999768634733,214631.819920026,7548.69737636467,122590.418617969,1465.75317393349,153112.267124577,2625.93990673957,368192.774017533,4294.79992833515
"Viet Nam",880.416033008,73438.4207927151,3295.17244929259,41538.1702063913,252.444603883662,46766.5996652666,500.909359316138,132010.492506487,842.793196761619,198810.585818447,10158.0558475702,113163.717058273,2190.98842745424,143776.095628838,3938.05610514983,339491.94476823,6519.20297040691
"Colombia",865.420430272,88786.1927432182,3270.60813638811,50513.4059219822,175.086475478333,55523.0531846578,350.599526908799,160322.119123015,583.783850934107,199900.091201293,7569.90877017598,113998.102950403,1548.37725121384,143414.732847433,2780.97131451048,342287.437806043,4578.80292366327
"Philippines",848.070820638,80307.9393450917,3088.19790057397,45593.2242762505,192.458358565257,50550.6693173747,383.910395485991,144779.92444165,642.173541368382,194274.238342517,8061.13762291308,110705.192377517,1688.26451724931,139789.986424397,3034.10062054998,332327.536225637,5007.9106541786
"Slovakia",818.461680773091,99696.6038229592,3780.8176695679,56947.7461437072,143.504070803395,61580.4991421062,290.702530210917,180561.566183064,477.217047032426,192374.428876035,6732.0630629933,109904.133215666,1299.34206039164,137146.767728805,2326.24996073834,330072.385683634,3800.7955568997
"Finland",816.649688016,89005.2930853287,3376.79590918986,50713.1960372289,155.302032173083,55398.1254266424,312.800925074027,160904.557792115,517.357750693187,190164.756823098,7004.03106536737,108511.08839763,1389.79430562933,136051.641134346,2494.75448836555,325931.540937316,4093.61116862302
"Kuwait",743.64493656,69582.4353823764,2759.1185988186,39490.9853671447,172.19926158026,43844.5849488699,343.225201673873,125411.735831115,574.510268274565,170150.00506616,7205.30512268787,96947.3648918239,1508.91435742128,122482.849491269,2711.40653723796,291019.800815386,4476.34028031018
"Serbia",702.657616354545,76843.1339919772,2918.82125586816,43787.0275155403,133.504778494887,47817.0084606099,268.962028117657,138925.365999781,444.73764149097,163636.853240489,6026.18855789904,93377.1680823218,1195.16024965911,117067.760029363,2145.24514754163,280465.631609782,3519.66357609857
"Chile",694.038483926,68426.3361852555,2516.71248505061,38890.1614253227,150.206282971887,42931.4619404677,299.711085689856,123457.385189976,501.04405647978,159420.856872163,6338.84850896865,90879.0798942733,1319.15709531073,114584.525420467,2370.09705363548,272798.965301747,3910.2545149763
"Switzerland",679.812372225,77713.6539148762,2893.04201102634,44328.8641792228,122.999878545367,48209.334559865,248.094750831415,140602.763005541,409.47459011611,158803.569356888,5608.85862525729,90661.5054893167,1104.108186721,113470.532325939,1979.59865517044,272278.670255408,3243.93807139517
"Turkmenistan",676.903882849454,71516.2816919037,2628.33589768946,40717.8656053844,134.291514992277,44625.5484855746,269.004242282029,129205.430984752,447.635338582111,156657.759815735,5827.78206246462,89363.6747803459,1188.57991454326,112308.896037809,2133.51338849883,268300.708629049,3511.10780040642
"Portugal",632.711504899,62604.6314126407,2414.92953406302,35584.5280855888,133.600731453117,39256.3421899287,267.801844875921,112973.023962404,445.55724326422,145934.159146882,5819.81618309202,83193.6009661252,1183.99055078876,104757.30394033,2128.47455753952,249851.572534191,3503.9968231493
"Azerbaijan",622.789280548,70952.7042744997,2907.36122201681,40468.8174352277,118.537845808458,44020.1462364757,239.827605973765,128369.149151796,394.522960355477,145789.137431559,5499.62267974445,83227.3639251839,1070.08272542179,104122.692075946,1918.44896097981,250017.356293546,3138.90449697848
"Israel",620.376691935,59000.2445564345,2292.39911003092,33500.1608902429,137.018997859912,37119.9610385727,273.788999629647,106380.611740488,457.076157839666,142420.138884896,5844.72500671359,81160.2329724909,1206.82330522441,102404.490889217,2169.42156266497,243695.69279298,3577.21582892313
"Norway",585.992051315,63158.3794842973,2310.08079146064,35976.7467209628,111.34189289558,39347.1555360547,223.696541665471,114151.236195874,371.012995576931,136072.950037754,4937.89829851396,77637.0816604149,991.472602119337,97437.4565320142,1779.8083054663,233144.311920833,2924.35202922097
"Singapore",566.093647343,55284.4949802912,2286.75504618356,31412.6346242654,122.955859120018,34700.2314260326,246.561966105392,99740.6188905757,409.977949503064,130614.301791641,5379.40152840172,74450.8889291636,1090.67447689597,93766.7975719924,1960.11881377844,223625.218873767,3225.54203397252
"Libya",540.033478593,52339.9852876635,2160.32272558451,29733.5392989473,116.843354853375,32874.198961564,234.111005106923,94412.2176024792,389.603239926386,124424.416583422,5084.23002323816,70917.0000465451,1034.77858154536,89364.4296116397,1859.37893746334,212991.820092081,3060.90201506719
"Qatar",526.715349411,43437.5009470087,1955.52348230354,24560.2102611862,147.862503357566,27688.1024301308,293.515754889416,78064.1901497091,493.61108659312,119003.082562643,5980.38862011186,67731.2271477465,1284.62888010917,86050.9552724339,2309.13613012531,203227.065267749,3821.64873116449
"Ireland",526.068823995,55794.7392036292,2028.32550850673,31769.8407329192,101.992087099155,34801.115582309,204.735341014151,100813.261295659,339.949810315316,121965.223907556,4495.25714916445,69576.7039185802,906.646136446277,87381.0085720407,1628.31401861472,208937.959232048,2677.26251768285
"Syria",488.925920079,46611.6384711833,1974.37309602361,26467.523500064,110.276514222571,29312.4050351662,221.054285791121,84054.9868783198,367.769948381722,112651.823237417,4816.7292988249,64197.9003852233,977.590860703248,80910.5809625981,1757.76111679883,192846.988364428,2893.69745518278
"Morocco",445.903700902,40300.4269939916,1608.16047460747,22849.7084736392,106.520558607856,25469.0819710474,212.158439462867,72582.4905372881,355.465913680252,101742.173945925,4430.53118659163,57952.6692297683,931.951662084097,73312.8829047632,1675.27365332255,173960.969703244,2767.36900375201
"Peru",443.532284906182,44458.0766133637,1669.66359698119,25278.5653888703,94.0767747899627,27854.9971742845,187.923834542244,80240.6672769364,313.732328403787,102155.625402215,4004.73500648408,58243.3602449404,828.076085021345,73365.5880546181,1487.20761070238,174857.927907086,2451.70247696228
"Cuba",432.910709282,48974.1607302319,1853.05454343363,27928.7693384067,79.8981162351531,30402.6834231099,161.16018849827,88591.029429179,266.026355562927,101065.548182499,3639.98426009144,57692.3441825713,717.105331782259,72235.513970185,1286.06363072494,173268.786394741,2107.75947397238
"New Zealand",427.59181853,45259.9410709367,1625.49536069447,25770.0663078571,83.023249631714,28236.1667842795,166.468469734665,81773.5901206735,276.739943508888,99022.3018869966,3631.63628259978,56487.6536953595,736.386286245114,70967.8686061292,1322.35376889607,169611.383359501,2175.36173274811
"Hong Kong",422.158846373,39869.8019311898,1595.92687410017,22633.5352039776,93.33002081039,25096.7604388456,186.688571452966,71879.1101507462,311.322425218259,96957.3521533255,4006.86098817524,55249.0172666951,823.650441409838,69710.4084603033,1480.70271426255,165912.630732978,2440.3282515989
"Estonia",381.614952297455,45885.9309865912,1811.57512221841,26203.1085223592,69.846336489335,28365.2130382808,141.598837731081,83089.4713991335,232.33378530569,89705.3199288207,3285.32201048962,51241.0795301117,633.127047194032,63961.5954531,1134.20683576602,153913.284803251,1853.1066466244
