,,,368.5240291,Mio,Mio,Mrd,Mrd,Mio,Mio,Mrd,Mrd,,,,,,,,,,
Uruguay,URY,97.37664326,0.097376643,13720.61855,977.9618878,13.72061855,0.977961888,20728.69329,1456.836776,20.72869329,1.456836776,,0.956409454,2.122373391,,,,,,,
Ghana,GHA,91.77782464,0.091777825,11859.36663,1023.650145,11.85936663,1.023650145,19011.737,1685.953697,19.011737,1.685953697,,1.04785962,2.842439867,,,,,,,
Côte d'Ivoire,CIV,86.1474082,0.086147408,11400.63929,949.896282,11.40063929,0.949896282,18020.67105,1501.843107,18.02067105,1.501843107,,0.902302947,2.255532718,,,,,,,
Brunei Darussalam,BRN,83.65934025,0.08365934,11295.99511,979.2031726,11.29599511,0.979203173,17604.56111,1494.865701,17.60456111,1.494865701,,0.958838853,2.234623463,,,,,,,
Panama,PAN,78.66680794,0.078666808,10278.08136,852.4234582,10.27808136,0.852423458,16360.48221,1385.95873,16.36048221,1.38595873,,0.726625752,1.920881602,,,,,,,
Cyprus,CYP,76.25859872,0.076258599,10067.4367,825.2259314,10.0674367,0.825225931,15942.71591,1313.528635,15.94271591,1.313528635,,0.680997838,1.725357475,,,,,,,
Albania,ALB,73.6216177,0.073621618,10350.10096,836.3707199,10.35010096,0.83637072,15699.69088,1237.307511,15.69969088,1.237307511,,0.699515981,1.530929878,,,,,,,
Gabon,GAB,68.14659691,0.068146597,9329.968401,782.0148285,9.329968401,0.782014829,14430.15015,1176.473085,14.43015015,1.176473085,,0.611547192,1.384088919,,,,,,,
Honduras,HND,65.17650093,0.065176501,8339.042751,745.7225991,8.339042751,0.745722599,13469.41147,1227.836608,13.46941147,1.227836608,,0.556102195,1.507582736,,,,,,,
Costa Rica,CRI,65.03645058,0.065036451,8454.455916,717.9907252,8.454455916,0.717990725,13520.88951,1161.466996,13.52088951,1.161466996,,0.515510681,1.349005582,,,,,,,
Zambia,ZMB,62.72651649,0.062726516,9085.640807,669.0365621,9.085640807,0.669036562,13444.23152,961.2481826,13.44423152,0.961248183,,0.447609921,0.923998069,,,,,,,
Ethiopia,ETH,62.21897824,0.062218978,7829.075086,766.9166019,7.829075086,0.766916602,12773.80153,1289.578359,12.77380153,1.289578359,,0.588161074,1.663012343,,,,,,,
Senegal,SEN,60.34106228,0.060341062,7847.299372,666.4349389,7.847299372,0.666434939,12534.57817,1085.111402,12.53457817,1.085111402,,0.444135528,1.177466754,,,,,,,
El Salvador,SLV,59.65363566,0.059653636,7830.255743,649.8809685,7.830255743,0.649880968,12441.82987,1042.473319,12.44182987,1.042473319,,0.422345273,1.086750621,,,,,,,
Tanzania,TZA,58.5437226,0.058543723,7522.991037,677.8805177,7.522991037,0.677880518,12104.01243,1120.189471,12.10401243,1.120189471,,0.459521996,1.254824451,,,,,,,
Cameroon,CMR,53.5328751,0.053532875,6993.492637,641.553837,6.993492637,0.641553837,11147.22745,1017.872518,11.14722745,1.017872518,,0.411591326,1.036064462,,,,,,,
Democratic Republic of the Congo,COD,49.68304501,0.049683045,7234.924029,541.0451124,7.234924029,0.541045112,10690.08774,776.5311259,10.69008774,0.776531126,,0.292729814,0.60300059,,,,,,,
Afghanistan,AFG,46.5722764,0.046572276,6019.713127,586.0957851,6.019713127,0.586095785,9643.213669,966.4750013,9.643213669,0.966475001,,0.343508269,0.934073928,,,,,,,
Nicaragua,NIC,45.29214624,0.045292146,5999.503484,479.4260319,5.999503484,0.479426032,9469.647325,764.4630074,9.469647325,0.764463007,,0.22984932,0.58440369,,,,,,,
Mozambique,MOZ,44.71145309,0.044711453,6150.317015,499.5642138,6.150317015,0.499564214,9422.25754,779.17392,9.42225754,0.77917392,,0.249564404,0.607111998,,,,,,,
Bahamas,BHS,44.21220358,0.044212204,6367.899106,641.057555,6.367899106,0.641057555,9506.691668,911.0690773,9.506691668,0.911069077,,0.410954789,0.830046864,,,,,,,
Paraguay,PRY,44.03178858,0.044031789,5646.668196,503.1306462,5.646668196,0.503130646,9111.436453,823.4275059,9.111436453,0.823427506,,0.253140447,0.678032858,,,,,,,
Papua New Guinea,PNG,42.80110485,0.042801105,5511.395003,484.2519091,5.511395003,0.484251909,8868.530005,790.4942567,8.868530005,0.790494257,,0.234499912,0.62488117,,,,,,,
Iceland,ISL,39.71539816,0.039715398,5405.786274,397.211183,5.405786274,0.397211183,8369.24346,619.043286,8.36924346,0.619043286,,0.157776724,0.38321459,,,,,,,
New Caledonia,NCL,38.76498186,0.038764982,5198.046434,410.9389118,5.198046434,0.410938912,8120.870248,653.6867937,8.120870248,0.653686794,,0.168870789,0.427306424,,,,,,,
Botswana,BWA,37.1753097,0.03717531,4651.337974,459.5345954,4.651337974,0.459534595,7637.274874,756.9993036,7.637274874,0.756999304,,0.211172044,0.573047946,,,,,,,
Nepal,NPL,35.2222476,0.035222248,4294.073515,487.8242383,4.294073515,0.487824238,7158.633228,829.8808732,7.158633228,0.829880873,,0.237972488,0.688702264,,,,,,,
Cambodia,KHM,34.8837332,0.034883733,4222.116024,510.8891492,4.222116024,0.510889149,7064.902685,875.7224888,7.064902685,0.875722489,,0.261007723,0.766889877,,,,,,,
Equatorial Guinea,GNQ,34.24583942,0.034245839,4079.842078,547.2148079,4.079842078,0.547214808,6918.52499,913.3724489,6.91852499,0.913372449,,0.299444046,0.83424923,,,,,,,
Laos,LAO,32.98085048,0.03298085,3818.102528,725.8895884,3.818102528,0.725889588,6564.256088,1272.021416,6.564256088,1.272021416,,0.526915695,1.618038484,,,,,,,
Suriname,SUR,30.20084467,0.030200845,4150.730328,315.7771159,4.150730328,0.315777116,6391.644463,481.048309,6.391644463,0.481048309,,0.099715187,0.231407476,,,,,,,
Mauritius,MUS,29.41777584,0.029417776,3745.792445,341.9455136,3.745792445,0.341945514,6071.554132,563.0001137,6.071554132,0.563000114,,0.116926734,0.316969128,,,,,,,
Benin,BEN,28.26975763,0.028269758,3447.28371,383.4907194,3.44728371,0.383490719,5747.472641,649.6685237,5.747472641,0.649668524,,0.147065132,0.422069191,,,,,,,
Malta,MLT,27.64533292,0.027645333,3704.116258,302.3776239,3.704116258,0.302377624,5810.854231,473.9711954,5.810854231,0.473971195,,0.091432227,0.224648694,,,,,,,
Guyana,GUY,26.13489948,0.026134899,3615.461406,267.587822,3.615461406,0.267587822,5538.096294,405.9287869,5.538096294,0.405928787,,0.071603242,0.16477818,,,,,,,
Uganda,UGA,25.85759078,0.025857591,3337.713025,299.4344193,3.337713025,0.299434419,5348.493996,494.9775718,5.348493996,0.494977572,,0.089660971,0.245002797,,,,,,,
Montenegro,MNE,25.03443024,0.02503443,3395.886117,265.1733965,3.395886117,0.265173397,5279.021958,409.1183551,5.279021958,0.409118355,,0.07031693,0.167377828,,,,,,,
Madagascar,MDG,24.37198533,0.024371985,3233.470383,258.8579276,3.233470383,0.258857928,5091.235012,415.8459031,5.091235012,0.415845903,,0.067007427,0.172927815,,,,,,,
Kosovo,0,24.20579402,0.024205794,2754.650163,487.5703988,2.754650163,0.487570399,4804.330502,833.0486221,4.804330502,0.833048622,,0.237724894,0.693970007,,,,,,,
Guinea,GIN,21.31854203,0.021318542,2821.010408,225.8903081,2.821010408,0.225890308,4454.04524,361.198461,4.45404524,0.361198461,,0.051026431,0.130464328,,,,,,,
Haiti,HTI,19.83579433,0.019835794,2566.468855,220.944114,2.566468855,0.220944114,4112.414998,361.996982,4.112414998,0.361996982,,0.048816302,0.131041815,,,,,,,
Congo,COG,19.63343942,0.019633439,2557.960258,230.1477349,2.557960258,0.230147735,4079.768607,373.1680054,4.079768607,0.373168005,,0.05296798,0.13925436,,,,,,,
Mauritania,MRT,18.88186506,0.018881865,2436.718056,231.3455219,2.436718056,0.231345522,3915.56466,372.1685984,3.91556466,0.372168598,,0.05352075,0.138509466,,,,,,,
Namibia,NAM,18.61106483,0.018611065,2250.021359,260.1353294,2.250021359,0.260135329,3778.853058,434.5030753,3.778853058,0.434503075,,0.06767039,0.188792922,,,,,,,
Togo,TGO,18.04493951,0.01804494,2310.087849,208.7125168,2.310087849,0.208712517,3732.00781,341.7966007,3.73200781,0.341796601,,0.043560915,0.116824916,,,,,,,
Aruba,ABW,17.76422796,0.017764228,2376.627805,210.3717362,2.376627805,0.210371736,3728.118671,332.9274021,3.728118671,0.332927402,,0.044256267,0.110840655,,,,,,,
Lesotho,LSO,15.89399726,0.015893997,1965.376595,213.5245243,1.965376595,0.213524524,3255.105266,348.5507681,3.255105266,0.348550768,,0.045592722,0.121487638,,,,,,,
Burkina Faso,BFA,15.24475213,0.015244752,1886.396871,196.7749262,1.886396871,0.196774926,3114.421362,332.2684472,3.114421362,0.332268447,,0.038720372,0.110402321,,,,,,,
Macao,MAC,15.14790855,0.015147909,1960.312016,173.9398795,1.960312016,0.173939879,3147.603376,279.7946449,3.147603376,0.279794645,,0.030255082,0.078285043,,,,,,,
Occupied Palestinian Territory,0,14.68777792,0.014687778,1777.329651,205.0378197,1.777329651,0.20503782,2983.255307,342.3381679,2.983255307,0.342338168,,0.042040507,0.117195421,,,,,,,
Barbados,BRB,14.3334167,0.014333417,1914.115976,151.6880104,1.914115976,0.15168801,3007.022995,239.1626399,3.007022995,0.23916264,,0.023009253,0.057198768,,,,,,,
Liberia,LBR,13.80680758,0.013806808,1954.957337,171.4292644,1.954957337,0.171429264,2948.24992,249.2386014,2.94824992,0.249238601,,0.029387993,0.06211988,,,,,,,
Fiji,SYR,13.72127333,0.013721273,1829.654702,144.9603401,1.829654702,0.14496034,2872.205072,231.1504748,2.872205072,0.231150475,,0.0210135,0.053430542,,,,,,,
Sint Maarten (Dutch part),FRO,13.60648073,0.013606481,1975.801359,169.4712203,1.975801359,0.16947122,2927.32906,240.0799376,2.92732906,0.240079938,,0.028720495,0.057638376,,,,,,,
Mali,MLI,13.54946881,0.013549469,1686.552682,173.2552893,1.686552682,0.173255289,2772.025764,292.5150067,2.772025764,0.292515007,,0.030017395,0.085565029,,,,,,,
Malawi,MWI,12.12618443,0.012126184,1629.553972,126.6109847,1.629553972,0.126610985,2547.403162,198.292703,2.547403162,0.198292703,,0.016030341,0.039319996,,,,,,,
Niger,NER,11.79234104,0.011792341,1525.078859,137.7174921,1.525078859,0.137717492,2446.322717,223.7694968,2.446322717,0.223769497,,0.018966108,0.050072788,,,,,,,
Swaziland,SWZ,10.73063719,0.010730637,,,,,,,,,,0,0,,,,,,,
South Sudan,,9.667269182,0.009667269,1241.771176,112.0440292,1.241771176,0.112044029,1999.065646,184.6083043,1.999065646,0.184608304,,0.012553864,0.034080226,,,,,,,
Sierra Leone,SLE,9.61742529,0.009617425,1337.904575,102.5808513,1.337904575,0.102580851,2039.477074,154.5158164,2.039477074,0.154515816,,0.010522831,0.023875138,,,,,,,
Somalia,SOM,8.645218262,0.008645218,1183.103149,97.06762614,1.183103149,0.097067626,1829.760795,147.2037981,1.829760795,0.147203798,,0.009422124,0.021668958,,,,,,,
Faeroe Islands,FRO,7.976536304,0.007976536,1076.801553,84.25496274,1.076801553,0.084254963,1679.816137,130.9887419,1.679816137,0.130988742,,0.007098899,0.017158051,,,,,,,
Greenland,GRL,7.74466364,0.007744664,1081.990285,80.40359169,1.081990285,0.080403592,1646.13795,120.539885,1.64613795,0.120539885,,0.006464738,0.014529864,,,,,,,
Bermuda,BMU,7.593113886,0.007593114,1038.872437,78.93519978,1.038872437,0.0789352,1605.111124,121.2285393,1.605111124,0.121228539,,0.006230766,0.014696359,,,,,,,
French Polynesia,PYF,7.364054743,0.007364055,970.4936847,80.57336119,0.970493685,0.080573361,1538.826323,128.0069994,1.538826323,0.128006999,,0.006492067,0.016385792,,,,,,,
Rwanda,,7.158465103,0.007158465,940.5041136,81.79514454,0.940504114,0.081795145,1494.235658,129.4123308,1.494235658,0.129412331,,0.006690446,0.016747551,,,,,,,
Chad,TCD,6.561421946,0.006561422,839.4124064,76.4666198,0.839412406,0.07646662,1356.766524,125.3244919,1.356766524,0.125324492,,0.005847144,0.015706228,,,,,,,
"Bonaire, Saint Eustatius and Saba",0,6.078746572,0.006078747,882.9913623,75.77403631,0.882991362,0.075774036,1307.958564,107.3142129,1.307958564,0.107314213,,0.005741705,0.01151634,,,,,,,
Maldives,MDV,5.766153872,0.005766154,691.623197,81.85936789,0.691623197,0.081859368,1166.713792,138.6525572,1.166713792,0.138652557,,0.006700956,0.019224532,,,,,,,
Antigua and Barbuda,0,5.626984074,0.005626984,781.1824374,70.1695696,0.781182437,0.07016957,1193.662272,102.7079646,1.193662272,0.102707965,,0.004923768,0.010548926,,,,,,,
Djibouti,DJI,4.995926442,0.004995926,671.5637273,53.29421366,0.671563727,0.053294214,1050.725247,83.08015737,1.050725247,0.083080157,,0.002840273,0.006902313,,,,,,,
Belize,BLZ,4.873086596,0.004873087,640.8848995,52.44202256,0.640884899,0.052442023,1016.86264,84.01299463,1.01686264,0.084012995,,0.002750166,0.007058183,,,,,,,
Eritrea,ERI,4.393664121,0.004393664,541.3006859,64.35722243,0.541300686,0.064357222,898.8560773,104.3267649,0.898856077,0.104326765,,0.004141852,0.010884074,,,,,,,
Bhutan,BTN,4.251804963,0.004251805,509.9628397,62.0995071,0.50996284,0.062099507,859.8267834,105.8093391,0.859826783,0.105809339,,0.003856349,0.011195616,,,,,,,
Seychelles,,4.171218281,0.004171218,,,,,,,,,,0,0,,,,,,,
Andorra,AND,3.840694874,0.003840695,479.4691323,52.19445296,0.479469132,0.052194453,789.5838609,84.27099058,0.789583861,0.084270991,,0.002724261,0.0071016,,,,,,,
Gambia,GMB,3.531722684,0.003531723,454.7992209,39.67667899,0.454799221,0.039676679,731.8025607,64.77554069,0.731802561,0.064775541,,0.001574239,0.004195871,,,,,,,
Cape Verde,PRK,3.315121254,0.003315121,418.5681282,40.77966031,0.418568128,0.04077966,681.714896,67.61069285,0.681714896,0.067610693,,0.001662981,0.004571206,,,,,,,
Central African Republic,CAF,3.190008127,0.003190008,430.6658025,33.61724256,0.430665803,0.033617243,671.4319315,52.17988516,0.671431932,0.052179885,,0.001130119,0.00272274,,,,,,,
Burundi,BDI,3.151513715,0.003151514,412.8294488,35.26799706,0.412829449,0.035267997,656.7460461,56.63161685,0.656746046,0.056631617,,0.001243832,0.00320714,,,,,,,
Saint Lucia,LCA,3.130854262,0.003130854,406.8768804,35.40471955,0.40687688,0.03540472,651.3879169,56.86418582,0.651387917,0.056864186,,0.001253494,0.003233536,,,,,,,
Solomon Islands,SLB,2.687462108,0.002687462,348.6394426,30.12026491,0.348639443,0.030120265,558.7362709,48.55888487,0.558736271,0.048558885,,0.00090723,0.002357965,,,,,,,
Guinea-Bissau,GNB,2.593228196,0.002593228,345.2815528,27.67392461,0.345281553,0.027673925,543.4569007,43.63501932,0.543456901,0.043635019,,0.000765846,0.001904015,,,,,,,
Grenada,GRD,2.076036431,0.002076036,267.4780624,23.41209696,0.267478062,0.023412097,430.3097449,38.15086783,0.430309745,0.038150868,,0.000548126,0.001455489,,,,,,,
Samoa,WSM,1.85410702,0.001854107,243.0055166,20.16517306,0.243005517,0.020165173,386.4757143,32.34701136,0.386475714,0.032347011,,0.000406634,0.001046329,,,,,,,
Saint Vincent and the Grenadines,VCT,1.806081233,0.001806081,230.2875068,21.14405314,0.230287507,0.021144053,373.1534726,34.64391366,0.373153473,0.034643914,,0.000447071,0.001200201,,,,,,,
Saint Kitts and Nevis,KNA,1.607962305,0.001607962,200.7291646,20.2429253,0.200729165,0.020242925,330.2862967,33.16534939,0.330286297,0.033165349,,0.000409776,0.00109994,,,,,,,
Liechtenstein,LIE,1.589781394,0.001589781,200.5075838,22.04497331,0.200507584,0.022044973,328.1178791,35.19816576,0.328117879,0.035198166,,0.000485981,0.001238911,,,,,,,
Palau,PLW,1.570796318,0.001570796,194.0719178,21.81974798,0.194071918,0.021819748,321.6722701,35.47055853,0.32167227,0.035470559,,0.000476101,0.001258161,,,,,,,
British Virgin Islands,0,1.423367667,0.001423368,180.3823482,16.93979292,0.180382348,0.016939793,293.6749719,27.75064209,0.293674972,0.027750642,,0.000286957,0.000770098,,,,,,,
Timor-Leste,TLS,1.422036495,0.001422036,163.4722731,25.20555795,0.163472273,0.025205558,283.2654165,43.24973962,0.283265416,0.04324974,,0.00063532,0.00187054,,,,,,,
Nauru,NRU,1.289577018,0.001289577,182.2368132,15.78350021,0.182236813,0.0157835,276.1911813,23.20351015,0.276191181,0.02320351,,0.000249119,0.000538403,,,,,,,
Comoros,COM,1.238119926,0.00123812,158.2357553,14.27512761,0.158235755,0.014275128,255.8616115,23.48254559,0.255861612,0.023482546,,0.000203779,0.00055143,,,,,,,
Dominica,DMA,1.232308203,0.001232308,157.8234364,14.12951797,0.157823436,0.014129518,254.8956975,23.16576932,0.254895698,0.023165769,,0.000199643,0.000536653,,,,,,,
Vanuatu,VUT,1.189686668,0.001189687,159.5364389,12.80347694,0.159536439,0.012803477,249.6783444,20.04290911,0.249678344,0.020042909,,0.000163929,0.000401718,,,,,,,
Martinique,MTQ,1.146161881,0.001146162,160.5709333,14.23006042,0.160570933,0.01423006,243.6783215,20.76741946,0.243678321,0.020767419,,0.000202495,0.000431286,,,,,,,
Tonga,TON,1.124908598,0.001124909,146.7010507,12.42707484,0.146701051,0.012427075,234.1717086,19.99206049,0.234171709,0.01999206,,0.000154432,0.000399682,,,,,,,
Réunion,REU,1.016467673,0.001016468,129.6163916,13.90582694,0.129616392,0.013905827,209.8622175,22.31110685,0.209862217,0.022311107,,0.000193372,0.000497785,,,,,,,
Saint Pierre and Miquelon,SPM,0.99962437,0.000999624,139.0057657,10.1645889,0.139005766,0.010164589,212.0668036,15.38853892,0.212066804,0.015388539,,0.000103319,0.000236807,,,,,,,
Turks and Caicos Islands,TCA,0.955873109,0.000955873,114.0865032,13.89776471,0.114086503,0.013897765,193.1659845,23.43577507,0.193165985,0.023435775,,0.000193148,0.000549236,,,,,,,
Micronesia (Federated States of),FSM,0.934731054,0.000934731,115.2901007,13.00260143,0.115290101,0.013002601,191.2923887,21.17915429,0.191292389,0.021179154,,0.000169068,0.000448557,,,,,,,
Anguilla,AIA,0.863159544,0.00086316,105.2893944,11.84904324,0.105289394,0.011849043,175.8989797,19.61121486,0.17589898,0.019611215,,0.0001404,0.0003846,,,,,,,
Marshall Islands,0,0.85177544,0.000851775,103.9710219,11.78173797,0.103971022,0.011781738,173.624884,19.42570533,0.173624884,0.019425705,,0.000138809,0.000377358,,,,,,,
Sao Tome and Principe,STP,0.843423165,0.000843423,109.6440954,9.320435556,0.109644095,0.009320436,175.2597565,15.11941636,0.175259756,0.015119416,,8.68705E-05,0.000228597,,,,,,,
Kiribati,KIR,0.537798948,0.000537799,71.30413524,5.836422107,0.071304135,0.005836422,112.4594221,9.259698957,0.112459422,0.009259699,,3.40638E-05,8.5742E-05,,,,,,,
Cook Islands,COK,0.523843334,0.000523843,68.34711952,6.070806572,0.06834712,0.006070807,109.1288496,9.637273426,0.10912885,0.009637273,,3.68547E-05,9.2877E-05,,,,,,,
Montserrat,MSR,0.419237855,0.000419238,,,,,,,,,,0,0,,,,,,,
French Guiana,GUF,0.231350667,0.000231351,29.65308664,3.094374907,0.029653087,0.003094375,47.75119632,4.957189049,0.047751196,0.004957189,,9.57516E-06,2.45737E-05,,,,,,,
Wallis and Futuna Islands,WLF,0.124310702,0.000124311,14.71786207,2.052812136,0.014717862,0.002052812,25.0632203,3.423157184,0.02506322,0.003423157,,4.21404E-06,1.1718E-05,,,,,,,
Saint Helena,0,0.096089196,9.60892E-05,12.24211864,1.196483548,0.012242119,0.001196484,19.88645481,1.917061459,0.019886455,0.001917061,,1.43157E-06,3.67512E-06,,,,,,,
Tuvalu,TUV,0.072133158,7.21332E-05,8.922141546,0.978249655,0.008922142,0.00097825,14.77458384,1.59626572,0.014774584,0.001596266,,9.56972E-07,2.54806E-06,,,,,,,
Niue,NIU,0.072088772,7.20888E-05,9.554494533,0.831801523,0.009554495,0.000831802,15.10180796,1.303219961,0.015101808,0.00130322,,6.91894E-07,1.69838E-06,,,,,,,
